id;numero_ordine;cliente_id;nome_cliente;cognome_cliente;email;telefono;indirizzo;citta;provincia;cap;stato_paese;note_spedizione;tipo_spedizione;costo_spedizione;totale_imponibile;totale_iva;totale_final;buono_sconto;sconto_applicato;stato_ordine;data_creazione
1;as shaft;cf3297ca-bd85-4116-8e6f-d0832f140716;along;brightly midst;Donato.Hartmann71@gmail.com;char;blah;likely;be;queas;though wafer;huzzah disposer;STANDARD;15094.27;20458.65;22209.86;17606.21;of;6383.33;CONSEGNATO;2026-03-17T12:21:06
2;excepting however;9f1f8d3b-9ea9-4efc-9e8f-ef94b7592a4a;given hmph delight;christen portly;Libby.Kirlin1@hotmail.com;kindly for;middle squeaky;mixture transplant;du;since;address;hmph;STANDARD;7465.4;10977.17;1625.44;5920.38;ligate elevator;4679.64;IN_SPEDIZIONE;2026-03-17T14:11:13
3;enroll abaft stranger;c674dd98-3c45-4978-856e-ac0d318adcda;instead likewise at;thorn anenst gleaming;Madie97@hotmail.com;swiftly knowingly;geez usher;phew why;or;mixed;that;considering sweatshop;SAME_DAY;11122.28;11731.38;7542.79;18058.08;knowingly;26737.79;PAGATO;2026-03-17T11:41:42
4;rim;7148c474-753f-4688-bbf1-48de048594cd;failing frizz loftily;mmm pfft;Irving_Brekke-Crona@yahoo.com;soft;gasp provided;finally till sign;go;ack z;before;messy;STANDARD;14557.18;11123.24;15940.68;30778.1;amidst yippee;10387.86;ANNULLATO;2026-03-17T11:56:23
5;circa;1575892d-e800-41f4-935e-ac6396ef9435;abaft;throughout for hydrolyse;Davion.Kerluke@hotmail.com;though;enthusiastically;fiercely;li;till ;after how;relaunch;SAME_DAY;2292.31;23946.89;10905.29;643.56;cope except;11697.46;CONSEGNATO;2026-03-18T09:53:17
6;gracefully blindly;09a01b9c-5e11-424b-8d96-a84fa4a8a5c5;outside;brr;Zachary_Wuckert16@hotmail.com;wavy airmail;diligently chunter;sunbeam;fu;silen;able amidst till;the;STANDARD;18348.8;26170.49;14126.26;4033.34;unless as;28052.73;IN_ELABORAZIONE;2026-03-18T09:38:30
7;upwardly failing;39071bda-5736-423f-aee0-41227dd190d9;judgementally yahoo injunction;doting lest;Sabrina.Murphy@yahoo.com;reel;profane shrilly carefully;till;ro;ceram;irritably;afterwards;SAME_DAY;16480.12;23980.05;21013.13;4248.17;superior wasabi;4860.84;PAGATO;2026-03-17T14:22:20
8;mobilise procrastinate stealthily;a6a52448-d32c-4ee7-9865-33813903faca;lone in;frequent offset except;Clare39@gmail.com;hutch;jovially;obnoxiously;op;into ;ew;highly;RITIRO;30130.41;16025.4;23935.62;12156.97;notarize following excellent;11727.64;ANNULLATO;2026-03-17T10:53:03
9;butter supposing;caf37f27-7b5c-41c6-a977-00395d98e403;frenetically;forenenst banish;Charles57@yahoo.com;convince corny;trench arrogantly especially;yieldingly;re;altho;embarrassment among;igloo;RITIRO;27144.11;17591.44;11496.54;3183.64;viciously;4031.77;IN_ELABORAZIONE;2026-03-18T09:20:22
10;near;580688bc-6bdc-4f27-8d43-c1e00c5ecb8c;underachieve;muddy distorted inasmuch;Paxton_Boyle77@gmail.com;foolishly better continually;yum geez;minor importance um;as;conce;unto tribe;retract abacus;SAME_DAY;24192.21;12494.29;21333.51;22508.34;governance for;13144.3;PAGATO;2026-03-17T17:43:35
